ASV,Kingdom,Phylum,Class,Order,Family,Genus,Label
ASV02090,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,,Proteobacteria (f. Acetobacteraceae)
ASV02091,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Paracaedibacter,Proteobacteria (g. Paracaedibacter)
ASV02092,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,,Bacteroidetes (o. Sphingobacteriales)
ASV02093,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,Proteobacteria (g. Enhydrobacter)
ASV02094,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,Bacteroidetes (f. Chitinophagaceae)
ASV02095,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,Proteobacteria (g. Peredibacter)
ASV02096,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus_Megaira,Proteobacteria (g. Megaira)
ASV02097,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS_17,,Bacteroidetes (o. Sphingobacteriales)
ASV02098,Bacteria,Dependentiae,Babeliae,Babeliales,,,Dependentiae (o. Babeliales)
ASV02099,Bacteria,Planctomycetes,OM190,,,,Planctomycetes
ASV02100,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Proteobacteria (g. Pseudoxanthomonas)
ASV02101,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rivibacter,Proteobacteria (g. Rivibacter)
ASV02102,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Proteobacteria (g. Luteimonas)
ASV02103,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,Bacteroidetes (f. Chitinophagaceae)
ASV02104,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,"Actinobacteria (f. Sporichthyaceae, hgcI clade)"
ASV02105,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae,Bryobacter,Acidobacteria (g. Bryobacter)
ASV02106,Bacteria,Planctomycetes,Pla3_lineage,,,,Planctomycetes (Pla3 lineage)
